HNUM_PK,CNUM,CNAME,HTITLE,HDATE,HSTATE,HCARR,HEDU,HSALARY,HTYPE,HDAY,HLEV,HPOS,HPART,HQF,HPER,HHEAL,HSTEP,HAPP,HDOC,HNOTIC
24,24,(주)네비웍스,윈도우 응용 프로그래머(C++),상시채용,경기 안양시 동안구 부림로 170번길 41-18,신입·경력 15년↓,대졸(4년제)이상(예정자 가능),회사내규에 따름,정규직 (수습기간 3개월),0,프로그래머,,"센서/무장 시뮬레이터 개발
MFC 활용한 GUI SW 개발","학력:대졸이상(4년)
경력:무관(신입도 지원가능)","C, C++, C# 응용SW
TCP/IP, UDP, RS-232, RS-422 통신 모듈
WPF 활용한 GUI SW
모의장비형 CBT
MFC 활용한 GUI SW 개발
센서/무장 시뮬레이터 개발","든든하게 아침을 시작하실 수 있도록 아침 간편식을 제공합니다.
매년 우수사원 시상식을 진행하고 있습니다.(1등은 상금 1천만원 외 포상)
제주도에 원격근무시설을 오픈하여 임직원분들이 가족과 함께 활용 가능합니다.
네비웍스의 임직원분들은 소노호텔/리조트를 할인된 가격으로 이용 가능합니다.
몸과 마음의 건강을 위해 스포츠마사지와 심리상담을 제공합니다.
생일에는 특별휴가를 사용하여 더욱 행복한 생일을 보낼 수 있습니다.
수평적이고 젊은 기업문화를 가지고 있습니다.
필라테스 클래스를 사내에서 무료로 수강하실 수 있습니다.(5월부터 시행)
시간제 연차제도를 통해 자유로운 연차사용을 하실 수 있습니다.(5월부터 시행)",서류전형 > 인적성검사 > 코딩테스트&면접 > 최종합격,"사람인 입사지원,점핏에서 지원",0,"3개월의 수습 기간이 있습니다.(수습기간 동일 급여와 복리후생 보장)
포트폴리오 제출 시, 10MB 초과할 경우에는 링크를 기재해주세요.
서류합격자에 한해 연락드립니다.
본 채용은 수시 진행으로 우수 인재 채용 시 마감될 수 있습니다."
25,25,(주)픽소니어,"응용SW 개발자(C++,C#) -대전",상시채용,대전광역시 유성구 북유성대로 172,신입·경력(년수 무관),대졸(4년제)이상(예정자 가능),면접 후 결정,정규직 (수습기간 3개월),출근:08시 ~ 10시 자유,개발자,,"-응용소프트웨어 개발
-네트워크 통신 소프트웨어 개발
-2D/3D 기반 지도 처리 및 영상처리 소프트웨어 개발","C++, C# 개발자
학사 및 졸업예정자 이상
신입 또는 경력","공학계열
정보처리기사
해당직무 인턴경력, 해당직무 근무경험","지원금/보험: 각종경조사지원,단체상해보험
급여제도: 퇴직연금,장기근속자포상,퇴직금,성과급,4대보험
선물: 명절선물/귀향비,웰컴키트지급,장기근속선물
교육/생활: 워크샵,자격증취득지원,저녁식사제공,사내동호회운영,사우회(경조사회),음료제공(차,커피)
근무환경: 휴게실,회의실,공기청정기,사내정원,건물내경사로,사원증,사무용품지급,최고성능컴퓨터
조직문화: 노조/노사협의회,자유복장,자유로운연차사용
출퇴근: 주차장제공,주40시간제시행
리프레시: 연차,경조휴가제,반차,근로자의날휴무,포상휴가,산전후휴가,육아휴직,남성출산휴가,보건휴가",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,0
26,26,(주)심네트,"(대전) 개발자 신입/ 경력직 모집 (C/C++, C#)",2024.01.21,대전 유성구 죽동로 157,신입·경력(년수 무관),"대졸(2,3년제)이상(예정자 가능)",면접 후 결정,정규직,주 5일 (월 ~ 금),개발자,,국방관련 소프트웨어 개발,"IT 관련 학과 대학 졸업(2,3년) 이상
(정보처리기사 자격증 보유시 학과 무관)","프로그램 개발 관련 학원 수료
국방 M&S 개발 유경험","지원금/보험: 건강검진,각종경조사지원
급여제도: 퇴직연금,인센티브제,우수사원포상,직책수당,4대보험
선물: 명절선물/귀향비,창립일선물지급,생일선물/파티
교육/생활: 창립일행사,워크샵,도서구입비지원,교육비지원
근무환경: 휴게실,회의실,전용사옥
조직문화: 야근강요안함,자유복장
리프레시: 연차,경조휴가제,반차,근로자의날휴무,포상휴가,산전후휴가,육아휴직,남성출산휴가",서류전형 > 1차면접 > 2차면접 > 최종합격,사람인 입사지원,사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
27,27,(주) 셀바스에이아이,[셀바스AI] C++ 개발 (검증 자동화 SW) – 신입/경력,2024.01.31,서울 금천구 가산동 670-2,신입·경력 3~10년,대졸(4년제)학사 졸업 이상,면접 후 결정,정규직,"주 5일 (월 ~ 금) 
09:30 ~ 18:30
선택적근로제 사용가능",개발자,,자동차 관련 검증 자동화 SW 개발,"학력:학사 졸업 이상
해외여행에 결격 사유가 없는자","임베디드(Linux OS) 관련 개발 또는 프로젝트를 진행한 경험을 보유하신 분
MFC 개발 경험을 보유하신 분
Android App 개발 경험을 보유하신 분
yocto, cmake 사용이 가능하신 분
Git 사용 경험이 있으신 분
컴퓨터/시스템공학 관련 학위를 보유하신 분","지원금/보험: 건강검진,직원대출제도,각종경조사지원
급여제도: 퇴직연금,인센티브제,장기근속자포상,우수사원포상,휴일(특근)수당,직책수당
교육/생활: 워크샵,신규입사자교육(OJT),직무능력향상교육,리더십강화교육,자격증취득지원,자기계발비지원,구내식당(사원식당),점심식사제공,사내동호회운영
근무환경: 휴게실,카페테리아
출퇴근: 야간교통비지급,주차장제공
리프레시: 연차,반차,Refresh휴가,산전후휴가,육아휴직",서류전형 > 인적성검사 > 코딩테스트&면접 > 최종합격,"사람인 입사지원,홈페이지 지원",자유양식,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
28,28,젬텍(주),Linux 기반 C/C++ 개발 및 운영자 모집,2024.02.12,서울 강남구 테헤란로 322,신입·경력(년수 무관),"대졸(2,3년제)이상",면접 후 결정,정규직 (수습기간 3개월),0,개발 및 운영자,,알림톡/RCS/메시지(SMS/MMS)발송 서버 개발 및 운영,,"Linux 사용 가능자
장기근무 가능자
정보처리기사 소지자
네트워크 및 통신 프로토콜에 대한 기본 지식 보유자",0,서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,0
29,29,퀄리티아(주),[퀄리티아] 신입 및 경력직 C/C++ 개발자 모집,상시채용,서울 강남구 언주로 86기 7,신입·경력 2년 ↑,"대졸(2,3년제)이상",면접 후 결정,정규직 (수습기간 3개월),"주 5일 (월 ~ 금) 
09:00 ~ 18:00",면접 후 결정,,"메일 관련 솔루션, 스팸차단 솔루션, 아카이빙 제품 관련 연구개발","학력:대졸이상(2,3년)
C/C++ 개발소양","네트워크 프로그래밍관련 지식 보유자 및 활용가능 개발자
DBMS(MS-SQL, MySQL, Oracle) 활용 유경험자
윈도우 및 유닉스계열 프로그래밍 유경험자","지원금/보험: 건강검진,직원대출제도,각종경조사지원,단체상해보험,선택적복리후생
급여제도: 퇴직연금,인센티브제,상여금,장기근속자포상,우수사원포상,퇴직금,야근수당,휴일(특근)수당,직책수당,4대보험
선물: 명절선물/귀향비,생일선물/파티
교육/생활: 우수사원시상식,워크샵,플레이샵,도서구입비지원,외국어교육지원,교육비지원,사내동호회운영,음료제공(차,커피)
근무환경: 회의실,공기청정기,콘도/리조트이용권,사무용품지급
조직문화: 회식강요안함,야근강요안함,자유복장
출퇴근: 주차비지원
리프레시: 연차,여름휴가,경조휴가제,반차,근로자의날휴무",서류전형 > 면접전형 > 최종합격,사람인 입사지원,"이력서,포트폴리오","입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
30,30,(주)소닉스,"기업부설연구소(신입)/ C·C++,C# 정규직 채용",2024.01.28,"서울 성동구 성수이로24길 38
천안 서북구 성환읍 가동길26-22",신입,"대졸(2,3년제)이상(예정자 가능)","연봉 3,100 만원 (주40시간)",정규직 (수습기간 3개월),"주 5일 (월 ~ 금) 
09:00 ~ 18:00",프로그래머,,PC제어 프로그래머,"학력:대졸이상(2,3년)","전기/전자공학, 컴퓨터/시스템공학
TOEIC 600급(점) 이상, JLPT 100급(점) 이상
인근거주자","지원금/보험: 건강검진,단체상해보험
급여제도: 퇴직연금,장기근속자포상,퇴직금,연차수당,4대보험
선물: 명절선물/귀향비
교육/생활: 창립일행사,신규입사자교육(OJT),점심식사제공,저녁식사제공,사내동호회운영
근무환경: 휴게실,회의실,카페테리아,건물내경사로,휠체어용난간,장애인화장실,유니폼지급,노트북
조직문화: 회식강요안함,자유복장
출퇴근: 기숙사운영
리프레시: 연차",서류전형 > 면접전형 > 최종합격,사람인 입사지원,"이력서,졸업증명서,관련자격증서","입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
31,31,엠케이피(주),2024년 상반기 각 부문 신입/경력 공개채용,2024.01.21,경기 화성시 삼성1로1길 40,신입·경력,"대졸(2,3년제)이상",면접 후 결정,정규직 (수습기간 3개월),"주 5일 (월 ~ 금) 
09:00 ~ 18:00",0,,"회로설계
-디지털 회로설계 및 펌웨어 개발
-아날로그 회로설계
-RS485, CAN, 이더넷 등의 디지털 통신 설계","학력:학사이상
경력:신입
OrCAD 사용가능자","전공:전자,전기공학,제어공학, 반도체 등 관련학과 전공자
OrCAD/C,C++,C# 사용 가능자","지원금/보험: 4대보험,건강검진,각종경조사지원,선택적복리후생
선물: 명절선물/귀향비,임신/출산선물
급여제도: 퇴직연금,인센티브제,장기근속자포상,우수사원포상,퇴직금,성과급,야근수당,휴일(특근)수당,자격증수당
출퇴근: 기숙사운영,주차장제공,회사차량있음
근무환경: 휴게실,회의실,카페테리아,전용사옥,건물내경사로,유도점자블록,장애인화장실,장애인전용주차장,문턱없음,유니폼지급,사무용품지급
조직문화: 노조/노사협의회,회식강요안함,야근강요안함,자유복장
교육/생활: 우수사원시상식,워크샵,교육비지원,신입사원교육(OJT),직무능력향상교육,리더십강화교육,도서구입비지원,자기계발비지원,점심/저녁식사제공,사우회(경조사회),간식제공,식비지원,음료제공(차,커피)
리프레시: 연차,경조휴가제,반차,창립일휴무,근로자의날휴무,포상휴가,산전후휴가,육아휴직,남성출산휴가,보건휴가",서류전형 > 면접전형 > 최종합격,사람인 입사지원,"이력서,자기소개서","입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
32,32,인텔릭스(주),소프트웨어(S/W) 개발자 모집,2024.03.02,경기 성남시 분당구,신입·경력 15년↓,대졸(4년제)이상(예정자 가능),면접 후 결정,정규직,"주 5일 (월 ~ 금) 
08:30 ~ 17:30 또는
09:00 ~ 18:00",팀원,,GUI 소프트웨어 개발,"C/C++, C#, Java 중 1개 이상 언어 능통
해외여행에 결격사유가 없는자
남자는 병역필 또는 면제",인근 거주자,"지원금/보험: 건강검진,각종경조사지원,헬스비지급,자녀학자금
급여제도: 퇴직연금,상여금,장기근속자포상,퇴직금,성과급,직책수당,4대보험
선물: 명절선물/귀향비,창립일선물지급,생일선물/파티
교육/생활: 신규입사자교육(OJT),직무능력향상교육,구내식당(사원식당),점심식사제공,음료제공(차,커피)
근무환경: 휴게실,회의실,노트북,콘도/리조트이용권,사무용품지급,최고성능컴퓨터
조직문화: 노조/노사협의회,회식강요안함,야근강요안함,자유복장,자유로운연차사용,칼퇴근보장
출퇴근: 야간교통비지급,주차비지원,회사차량있음,주52시간제준수,주40시간제시행
리프레시: 연차,경조휴가제,반차,Refresh휴가,창립일휴무,근로자의날휴무,휴가비지원,육아휴직,남성출산휴가",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,"서류전형 합격인원에 한해 면접 일시 장소 개별통보 예정 회사에 대한 상세정보는 회사 홈페이지 참조 
기타 증빙서류는 합격 후 제출 
제출한 서류는 반환되지 않음"
33,33,(주)필옵틱스,[비전검사팀] Vision SW Engineer 채용,2024.01.23,경기 오산시 지곶중앙로 1-19,신입·경력 2년 ↑,대졸(4년제)이상,회사내규에 따름,정규직,"주 5일 (월 ~ 금) 
09:00 ~ 18:00",팀원,,"비전검사 S/W 개발
머신 비전 응용 프로그램 개발
영상 처리 응용 프로그램 개발","학력:4년제 이상
경력:신입
VISUAL C++(MFC) 또는 C#","컴퓨터 공학 전공자
MIL 라이브러리, COGNEX 라이브러리
VISION 검사 설비 유경험자
장비업체 근무 경험자","일과삶의균형: 하계휴가,휴양시설,경조사지원,복지포인트,웰빙클럽,통근버스
안정적인생활: 기숙사,주택자금대출지원,명절선물,정기건강검진,사우회,장기출장지원
즐거운일터: 사내식당,사내헬스장,포상제도,동호회,칭찬릴레이,닌텐도게임팩",서류전형 > 면접전형 > 최종합격,사람인 입사지원,"이력서,자기소개서","입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.
채용과정 중에 제출하신 서류에 대한 반환을 청구하실 수 있습니다.
(단, 온라인접수/전자메일로 제출된 경우나, 구인자의 요구없이 자발적으로 제출한 경우 제외)"
34,34,(주)인텔리코리아,"C#, C++, MFC (캐드 CAD/ BIM/ 게임) 개발자",2024.02.07,서울 금천구 가산동 488,신입·경력 2~20년,학력무관(졸업예정자 가능),면접 후 결정,"정규직 (수습기간 1개월)
계약직 (1년 후 정규직 전환가능)","주 5일 (월 ~ 금) 
09:00 ~ 18:00","책임연구원,수석연구원,이사",,"C#, C++ MFC(캐드/BIM/게임) 개발자","학력:무관
경력:신입","컴퓨터/시스템공학,수학/통계학
정보처리기사
영어가능자, 컴퓨터활용능력 우수, CAD/CAM 능숙자
이공계 석박사 졸업자","지원금/보험: 건강검진,자녀학자금
급여제도: 퇴직금,야근수당,휴일(특근)수당,연차수당,4대보험
선물: 명절선물/귀향비
교육/생활: 우수사원시상식,워크샵,신규입사자교육(OJT),도서구입비지원,멘토링제도,구내식당(사원식당),저녁식사제공
근무환경: 휴게실,회의실,공기청정기,카페테리아,전용사옥,사내정원,건물내경사로,휠체어용난간,사무용품지급
조직문화: 회식강요안함,야근강요안함,자유복장
출퇴근: 회사차량있음
리프레시: 연차,여름휴가,경조휴가제,반차,근로자의날휴무,산전후휴가,육아휴직",서류전형 > 면접전형 > 최종합격,"사람인 입사지원,우편지원","이력서,자기소개서","입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
35,35,(주)코세스,코세스 S/W개발자 모집(머신비젼 설비제어 레이져제어),2024.02.09,경기 부천시 오정구,무관(신입 포함),"대졸(2,3년제)이상(예정자 가능)","연봉 3,500 만원 (주40시간)",정규직 (수습기간 3개월),주 5일 (월 ~ 금) ,"사원,대리,과장",,"머신비전
-반도체 장비 머신 비젼 S/W 개발 및 유지보수
-Vision 알고리즘 개발
설비제어
-반도체 제조설비 제어 개발 및 유지보수
-C++/C# 윈도우 응용프로그램 개발
레이져 제어
-레이져 응용설비 제어 개발 및 유지보수
-C++/C# 윈도우 응용프로그램 개발","학력:초대졸이상(졸업예정자 가능)
경력:신입
해외출장 가능자","컴퓨터 공학 전공자
S/W(C#,C++,MFC)교육 이수한 자
OpenGL 및 컴퓨터 그래픽 프로그래밍 경험자
인근 거주자, 운전 가능자, 해당직무 근무경험","지원금/보험: 건강검진
급여제도: 장기근속자포상,퇴직금,휴일(특근)수당,4대보험
선물: 명절선물/귀향비
교육/생활: 워크샵,신규입사자교육(OJT),직무능력향상교육,리더십강화교육,구내식당(사원식당),점심식사제공,저녁식사제공,사우회(경조사회)
근무환경: 휴게실,회의실,전용사옥,사내정원,장애인화장실,장애인전용주차장,문턱없음,유니폼지급,노트북,사원증,사무용품지급
조직문화: 회식강요안함,야근강요안함,자유복장
출퇴근: 주차장제공
리프레시: 연차,경조휴가제,근로자의날휴무,산전후휴가",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
36,36,(주)에이루트,기술연구소 소프트웨어팀 신입 및 경력사원 모집,2024.01.31,경기 오산시 가장산업동로 28-6,신입·경력(년수 무관),"대졸(2,3년제)이상(예정자 가능)",면접 후 결정,정규직 (수습기간 3개월),"주 5일 (월 ~ 금) 
09:00 ~ 18:00","연구원,선임연구원,주임연구원",,"PC기반 Application Software 개발
Android 및 iOS 기반 App개발","학력:대졸이상(2,3년)
컴퓨터 관련 전공자
C/C++/MFC/C#/Java 중 1개 이상 언어 개발 가능자","Java, C# 등 Application 프로그램 개발 경험자
Cross -Platform 기반 프로그래밍 경험자
Android SDK 최적화 개발 경험자
iOS App 개발 경험자
윈도우 프로그래밍 가능자(윈도우 운영체제 및 win32 API 이해)","지원금/보험: 건강검진,각종경조사지원,체력단련실운영
급여제도: 퇴직연금,인센티브제,장기근속자포상,우수사원포상,퇴직금,4대보험
선물: 명절선물/귀향비,창립일선물지급,생일선물/파티
교육/생활: 우수사원시상식,워크샵,신규입사자교육(OJT),구내식당(사원식당),점심식사제공,저녁식사제공,사내동호회운영,음료제공(차,커피),우리사주제도
근무환경: 휴게실,회의실,카페테리아,전용사옥,사내정원,휠체어용난간,장애인화장실,장애인전용주차장,비상경보장치,사원증,자회사제품할인,콘도/리조트이용권
조직문화: 노조/노사협의회,야근강요안함,자유로운연차사용
출퇴근: 기숙사운영,통근버스운행,주차장제공,회사차량있음,주52시간제준수
리프레시: 연차,여름휴가,경조휴가제,반차,창립일휴무,근로자의날휴무,산전후휴가,육아휴직,휴양시설제공",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
37,37,다산네트웍스,[다산네트웍스] 전장연구소 S/W개발자 모집의 건 (신입/경력),2024.02.29,경기 성남시 분당구 상평동 676번지 다산타워,신입,학력무관(졸업예정자 가능),면접 후 결정,정규직 (수습기간 3개월),"주 5일 (월 ~ 금) 
08:00 ~ 17:00
협의시 유연근무가능",팀원,,"자동차 전장 소프트웨어 개발
Ethernet 소프트웨어 개발","소프트웨어 개발 경험자(C/C++)
임베디드 시스템 개발 경험자","코딩능력마스터 1급, 2급 자격증 보유하신 분
코딩전문가자격시험(COS Pro) 자격증 보유하신 분
CCPK 코딩 자격증 보유하신 분","지원큼/보험: 건강검진,각종경조사지원
급여제도: 장기근속자포상,퇴직금,4대보험",서류전형 > 1차면접 > 2차면접 > 최종합격,사람인 입사지원,"이력서,자기소개서","입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.
신입 채용의 경우 실무 면접 시 지필시험이 진행될 수 있습니다."
38,38,(주)쎄크,PC 제어(시스템제어팀),상시채용,경기도 수원시 권선구 산업로 155번길 111,신입·경력 10년↓,"대졸(2,3년제)이상",회사 내규에 따름,정규직 (수습기간 6개월),"주 5일 (월 ~ 금) 
08:30 ~ 17:30",팀원,,"비전 및 검사시스템 개발(외관검사 알고리즘, 영상처리)","학력:대졸이상(2,3년)
C++, C# 중 한가지 언어로 프로그래밍이 가능한 사람
영상처리 활용능력 보유","C언어 및 임베디드 CPU 활용이 가능하신 분
C++,MFC 활용이 가능하신 분
검사/자동화 장비 제어업무 경험이 있으신 분","지원금/보험: 건강검진,금연수당,직원대출제도,각종경조사지원,체력단련실운영,업무활동비지급
급여제도: 장기근속자포상,우수사원포상,퇴직금,4대보험
선물:명절선물/귀향비,창립일선물지급,생일선물/파티,결혼기념일선물
교육/생활: 창립일행사,우수사원시상식,워크샵,플레이샵,신입사원교육(OJT),직무능력향상교육,외국어교육지원,교육비지원,구내식당(사원식당),점심시간제공,저녁식사제공,사내동호회운영,사우회(경조사회),아침식사제공,음료제공(차,커피)
근무환경: 회의실,전용사옥,사내정원,건물내경사로,유도점자블록,장애인엘리베이터,문턱없음,유니폼지급,사무용품지급
조직문화: 자유복장
출퇴근: 기숙사운영
리프레시: 연차,창립일휴무,산전후휴가,육아휴직",0,"사람인 입사지원,점핏에서 지원",0,0
39,39,(주)지비티코리아,MCU/펌웨어/임베디드/C/C++ 신입사원 채용,2024.01.31,경기 군포시 당정로 90,신입,"대졸(2,3년제)이상(예정자 가능)",면접 후 결정,정규직 (수습기간 3개월),"주 5일 (월 ~ 금) 
09:00 ~ 18:00","선임연구원,책임연구원,수석연구원",,"회로 및 전장 설계
펌웨어 설계
-구동부제어
-모터 제어 관련 펌웨어 개발",대학졸업 이상(졸업예정자 가능),"C/C++/펌웨어/임베디드/MCU 유관 경험자
PCB Artwork
마이크로프로세서 경험자(AVR 등)","지원금/보험: 건강검진,각종경조사지원
급여제도: 퇴직연금,상여금,장기근속자포상,장기근속수당,4대보험
선물: 명절선물/귀향비
교육/생활: 워크샵,신규입사자교육(OJT),도서구입비지원,교육비지원,점심식사제공,저녁식사제공,음료제공(차,커피)
근무환경: 회의실,카페테리아,유니폼지급
조직문화: 자유복장
리프레시: 연차,여르뮿가,반차,근로자의날휴무",서류전형 > 1차면접 > 2차면접 > 최종합격,사람인 입사지원,"이력서,자기소개서,졸업증명서,성적증명서,자격증 사본",0
40,40,스냅태그(주),[스냅태그 연구소]Invisible Watermark C++ 개발자 모집,상시채용,경기도 성남시 분당구 황새울로 359번길 경림빌딩 7,무관(신입 포함),"대졸(2,3년제)이상",면접 후 결정,정규직 (수습기간 3개월),"주 5일 (월 ~ 금) 
출근08:00 ~ 10:00
퇴근:17:00 ~ 19:00",팀원,,"인비지블 워터마크의 비가시성 및 인식률을 향상시키는 연구
워터마크 생성, 인식 시간 단축 및 메모리 최적화 연구
OS별 실행파일, 라이브러리 빌드 및 배포","학력:4년제 대학 졸업
C++ 가능한자","이미지 프로세싱 경험
이미지의 주파수 영역에 대해 알고 있는 사람
라이브러리를 제작해본 경험이 있는 사람
Ios, Android 환경에서 C++을 사용해본 경험
OpenCV를 다루어본 경험","지원금/보험: 통신비지원,복지카드/포인트
급여제도: 퇴직금,연차수당
선물: 명절선물/귀향비,웰컴키트지급
교육/생활: 점심시간제공,간식제공,음료제공(차,커피)
조직문화: 자유로운 연차사용",서류전형 > 1차면접 > 2차면접 > 최종합격,사람인 입사지원,사람인 이력서,0
41,41,(주)그린텍시스템,제어프로그램 개발자(C·C++&C# 외 1개 부문) 채용,2024.01.31,경기 수원시 권선구,신입·경력 3년 ↑,대졸(4년제) 이상(예정자 가능),"연봉 3,500만원(주 40시간)",정규직 수습기간 3개월,08:00~17:00,"연구원,주임연구원,선임연구원",,제어프로그램(PC프로그램) 개발,0,"전기/전자공학, 컴퓨터/시스템공학,공학계열 해당직무 근무경험","지원금/보험: 건강검진,의료비지원(본인),직원대출제도,각종경조사지원,선택적복리후생
급여제도: 퇴직연금,인센티브제,휴일(특근)수당,연차수당,4대보험
선물: 명절선물/귀향비,생일선물/파티
교육/생활: 우수사원시상식,워크샵,도서구입비지원,멘토링제도,교육비지원,자기계발비지원,점심식사제공,저녁식사제공,음료제공(차,커피)
근무환경: 회의실,카페테리아,전용사옥,노트북,사무용품지급
조직문화: 자유복장
출퇴근: 기숙사운영,차량유류비지급,야간교통비지급,주차장제공,주차비지원,회사차량있음
리프레시: 연차,여름휴가,경조휴가제,근로자의날휴무,휴가비지원,포상휴가,휴양시설제공",서류전형 > 면접전형 > 최종합격,사람인 입사지원,"이력서,포트폴리오,인적성검사서","입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
42,42,봄텍전자주식회사,기술연구소 연구원 모집,2024.02.15,서울 강서구,무관(신입 포함),대졸(4년제) 이상,면접 후 결정,"정규직,계약직",주 5일(월~금) 09:00~18:00,면접 후 결정,,기술연구소 연구원,0,"전기/전자공학, 컴퓨터/시스템공학,공학계열
해당직무 근무경험
영상처리 개발 경력자 우대
SW: 앱개발(Android,iOS등)IT 개발 경력자
PC Program 개발 경력자
C++,Image processing, 영상처리 경력자","급여제도: 퇴직연금,4대보험
선물: 명절선물/귀향비
교육/생활: 워크샵,직무능력향상교육,음료제공(차,커피)
조직문화: 회식강요안함,야근강요안함,자유복장
리프레시: 연차,경조휴가제,반차,근로자의날휴무,산전후휴가",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
43,43,(주)아울시스템즈,보안 S/W개발 (C/C++/C#) 경력직 채용,2024.01.28,서울 영등포구,경력(년수무관),고교졸업 이상,면접 후 결정,정규직 수습기간 3개월,주 5일(월~금) 09:00~18:00,"선임연구원,주임연구원/팀원",,"Linux/Unix 기반 자사 솔루션 개발 및 유지관리
자사솔루션 커널 개발 및 유지관리",0,"IT 관련 전공
동일 업종/직무(IT/정보보호) 경험자
정보처리 및 정보보안 관련 자격 소지자
컴퓨터활용능력 우수
인근거주자
해당직무 인턴경력","지원금/보험: 각종경조사지원
급여제도: 퇴직금,4대보험
선물: 명절선물/귀향비,생일선물/파티,장기근속선물
교육/생활: 식비지원,음료제공(차,커피)
근무환경: 휴게실,노트북,사원증,안마실/안마의자
조직문화: 야근강요안함,자유로운연차사용
리프레시: 연차,반차,근로자의날휴무",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,0
44,44,(주)컴트루테크놀로지,[AI 인공지능/정보보안] 개발자 부문 – C/C++(취업축하금 지급),2024.01.18,서울 마포구,신입·경력 1년 ↑,대졸(4년제) 이상(예정자 가능),"연봉 3,300만원(주 40시간)","정규직,인턴직",주 5일(월~금) 09:00~18:00,면접 후 결정,,"Linux 기반 환경에서 C/C++을 이용한 솔루션 개발
실시간 네트워크 패킷 분석 및 처리 기능 개발","C/C++ 개발 경험
Linux,Unix 다뤄본 경험
script 언어 사용 경험","Go 언어 경험
TCP/IP 스택을 알고 계신분
테스트 코드 작성의 필요성을 알고 계신 분
문제를 스스로 정의하고 해결할 수 있는 능력을 갖추신 분","지원금/보험: 건강검진,각종경조사지원
급여제도: 퇴직연금,인센티브제,장기근속자포상,우수사원포상,스톡옵션,퇴직금,4대보험
선물: 명절선물/귀향비
교육/생활: 워크샵,신규입사자교육(OJT),자격증취득지원,자기계발비지원,구내식당(사원식당),저녁식사제공,음료제공(차,커피)
근무환경: 카페테리아,노트북
조직문화: 회식강요안함
출퇴근: 회사차량있음
리프레시: 연차,여름휴가,반차,근로자의날휴무",서류전형 > 1차면접 > 2차면접 > 최종합격,사람인 입사지원,"이력서,자기소개서","입사지원 서류에 허위사실이 반견될 경우, 채용 확정 이후라도 채용이 취소될 수 있으며 위조 문서는 법적 책임을 지게 될 수 있습니다.
채용공고 내용과 무관하게 지속적으로 지원하는 분들은 온라인 실업인정을 위한 허위/ 형식적 구직활동 등 부정행위로 가늠하여 해당 사이트를 통해 제재 조치를 할 수 있습니다."
45,45,(주)지에스,소프트웨어 개발,상시채용,경기 용인시 기흥구,무관(신입 포함),학력무관,면접 후 결정,정규직 수습기간 3개월,주 5일(월~금) 09:00~18:00,개발자,,Cortex M/H계열 MCU기반 Firmware 개발,"공인어학성적 소지자
프로그래밍 언어 가능","전자/전산/컴퓨터 전공자 우대
Micro-processor Firmware 가능자","복리후생(인센티브/경조금지원)
선물(명절선물)
교육(직무향상교육/어학교육지원)
편의(기숙사지원/체력단련지원)",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,"향후 지원사항이 허위로 판명될 경우, 입사(합격)을 취소할 수 있음
취업보호 대상자 및 장애인은 관계 법령에 의거하여 우대
해외여행에 결격 사유가 없는 자
채용탈락 시, 모집완료 후 14일 이내 제출된 모든 서류는 파기 처분함"
46,46,(주)빅앤딥,"응용소프트웨어, M&S, 인공지능, 임베디드 등 개발자 채용",2024.02.15,서울 송파구,신입·경력(년수 무관),대졸(4년제) 이상(예정자 가능),"초봉 3,600만원~",정규직 수습기간 3개월,주 5일 09:30~18:30,개발자,,응용소프트웨어 개발,"C++ 활용 가능, 능동적",관련학과 전공자,0,서류전형 > 면접전형 > 최종합격,"사람인 입사지원,홈페이지 지원,우편지원,전화지원",자유양식,0
